+------------------------------------------------------+--------------------------------+----------+----------------+------------------------+------------------------+---------------+
|                         TYPE                         |          DESCRIPTION           |  FILES   | VOLUMN (BYTE)  |       BEGIN DATE       |        END DATE        | ROLLING DAYS  |
| S3A_SL_2_WST                                         | Sentinel 3A SLSTR Level 2      | 58119    | 1202477076480  | 2025-04-01 17:53:23+00 | 2025-08-02 01:25:50+00 | 120           |
|                                                      | Group for High Resolution Sea  |          |                |                        |                        |               |
|                                                      | Surface Temperature Product    |          |                |                        |                        |               |
| S3A_SR_1_SRA_A_STC                                   | Sentinel-3A SRAL Level 1A      | 457      | 1132342738030  | 2025-07-15 03:42:52+00 | 2025-07-31 11:02:20+00 | 14            |
|                                                      | Unpacked L0 Complex echos      |          |                |                        |                        |               |
| S3A_SR_1_SRA_NRT                                     | Sentinel 3A SRAL near real     | 354      | 6084886528     | 2025-07-30 17:46:50+00 | 2025-08-02 01:38:10+00 | 120           |
|                                                      | time product of echos for LRM  |          |                |                        |                        |               |
|                                                      | and SAR mode                   |          |                |                        |                        |               |
| S3A_SR_1_SRA_STC                                     | Sentinel 3A SRAL short time    | 66       | 5726273536     | 2025-07-29 05:10:46+00 | 2025-07-31 12:43:20+00 | 120           |
|                                                      | critical product of echos for  |          |                |                        |                        |               |
|                                                      | LRM and SAR mode               |          |                |                        |                        |               |
| S3A_SR_2_WAT_NRT                                     | Sentinel 3A SRAL Surface       | 17730    | 207818647552   | 2025-04-01 17:47:50+00 | 2025-08-02 01:38:10+00 | 120           |
|                                                      | Topography Marine Level 2 in   |          |                |                        |                        |               |
|                                                      | Near Real-Time                 |          |                |                        |                        |               |
| S3A_SR_2_WAT_STC                                     | Sentinel 3A SRAL Surface       | 3429     | 152128813056   | 2025-03-31 05:21:52+00 | 2025-07-31 12:43:19+00 | 120           |
|                                                      | Topography Marine Level 2 in   |          |                |                        |                        |               |
|                                                      | short time critical            |          |                |                        |                        |               |
| S3B_OL_1_EFR                                         | Sentinel 3B OLCI Level 1 Earth | 26245    | 21328646320128 | 2025-04-01 17:55:33+00 | 2025-08-02 00:05:45+00 | 120           |
|                                                      | Observation Full Resolution    |          |                |                        |                        |               |
|                                                      | Product                        |          |                |                        |                        |               |
| S3B_OL_1_ERR                                         | Sentinel 3B OLCI Level 1 Earth | 1709     | 1645609035776  | 2025-04-01 17:44:57+00 | 2025-08-02 00:05:45+00 | 120           |
|                                                      | Observation Reduced Resolution |          |                |                        |                        |               |
|                                                      | Product                        |          |                |                        |                        |               |
| S3B_OL_2_WFR                                         | Sentinel 3B OLCI Level 2 Water | 27063    | 8278171342848  | 2025-04-01 18:10:33+00 | 2025-08-02 00:05:45+00 | 120           |
|                                                      | Full Resolution Product        |          |                |                        |                        |               |
| S3B_OL_2_WRR                                         | Sentinel 3B OLCI Level 2 Water | 1712     | 723224997888   | 2025-04-01 17:44:57+00 | 2025-08-02 00:05:45+00 | 120           |
|                                                      | Reduced Resolution Product     |          |                |                        |                        |               |
| S3B_SL_1_RBT                                         | Sentinel 3B SLSTR Level 1      | 56327    | 22532176455680 | 2025-04-01 18:55:33+00 | 2025-08-02 00:47:09+00 | 90            |
|                                                      | Package, including between 22  |          |                |                        |                        |               |
|                                                      | and 34 radiance and brightness |          |                |                        |                        |               |
|                                                      | temperature measurements       |          |                |                        |                        |               |
|                                                      | datasets                       |          |                |                        |                        |               |
| S3B_SL_2_FRP                                         | Sentinel 3B SLSTR Level 2 Fire | 34301    | 476676366336   | 2025-04-01 18:49:18+00 | 2025-08-02 00:44:07+00 | 120           |
|                                                      | Radiative Product              |          |                |                        |                        |               |
| S3B_SL_2_WST                                         | Sentinel 3B SLSTR Level 2      | 58125    | 1197041354752  | 2025-04-01 18:55:33+00 | 2025-08-02 00:47:09+00 | 90            |
|                                                      | Group for High Resolution Sea  |          |                |                        |                        |               |
|                                                      | Surface Temperature Product    |          |                |                        |                        |               |
| S3B_SR_1_SRA_A_STC                                   | Sentinel-3B SRAL Level 1A      | 460      | 1129494024969  | 2025-07-15 03:54:40+00 | 2025-07-31 11:14:09+00 | 14            |
|                                                      | Unpacked L0 Complex echos      |          |                |                        |                        |               |
| S3B_SR_1_SRA_NRT                                     | Sentinel 3B SRAL near real     | 344      | 5881462784     | 2025-07-30 18:48:27+00 | 2025-08-02 00:59:07+00 | 120           |
|                                                      | time product of echos for LRM  |          |                |                        |                        |               |
|                                                      | and SAR mode                   |          |                |                        |                        |               |
| S3B_SR_1_SRA_STC                                     | Sentinel 3B SRAL short time    | 65       | 5642387456     | 2025-07-29 05:22:33+00 | 2025-07-31 12:04:38+00 | 120           |
|                                                      | critical product of echos for  |          |                |                        |                        |               |
|                                                      | LRM and SAR mode               |          |                |                        |                        |               |
| S3B_SR_2_WAT_NRT                                     | Sentinel 3B SRAL Surface       | 17748    | 207810959360   | 2025-04-01 18:49:19+00 | 2025-08-02 00:59:07+00 | 120           |
|                                                      | Topography Marine Level 2 in   |          |                |                        |                        |               |
|                                                      | Near Real-Time                 |          |                |                        |                        |               |
| S3B_SR_2_WAT_STC                                     | Sentinel 3B SRAL Surface       | 3433     | 151527954432   | 2025-03-31 05:37:39+00 | 2025-07-31 12:04:38+00 | 120           |
|                                                      | Topography Marine Level 2 in   |          |                |                        |                        |               |
|                                                      | short time critical            |          |                |                        |                        |               |
| S5P_NRTI_L2_AER_AI                                   | Sentienl-5P L2 Near Real Time  | 16273    | 303790949601   | 2025-05-01 18:56:36+00 | 2025-08-02 01:18:29+00 | 90            |
|                                                      | Aerosol Index data             |          |                |                        |                        |               |
| S5P_NRTI_L2_CO                                       | Sentienl-5P L2 Near Real Time  | 16275    | 294372415394   | 2025-05-01 18:46:36+00 | 2025-08-02 01:18:29+00 | 90            |
|                                                      | Carbon Monoxide data           |          |                |                        |                        |               |
| S5P_NRTI_L2_NO2                                      | Sentienl-5P L2 Near Real Time  | 16275    | 834395096002   | 2025-05-01 18:46:36+00 | 2025-08-02 01:18:29+00 | 90            |
|                                                      | Nitrogen Dioxide data          |          |                |                        |                        |               |
| S5P_OFFL_L1B_IR_UVN                                  | Sentienl-5P L1B Offline        | 7        | 87142948       | 2025-07-26 05:53:34+00 | 2025-08-01 15:49:32+00 | 5             |
|                                                      | Irradiance UVN module data     |          |                |                        |                        |               |
| S5P_OFFL_L1B_RA_BD1                                  | Sentienl-5P L1B Offline        | 102      | 70663117934    | 2025-07-25 16:21:37+00 | 2025-08-01 20:54:01+00 | 5             |
|                                                      | Radiance Band-1 data           |          |                |                        |                        |               |
| S5P_OFFL_L1B_RA_BD2                                  | Sentienl-5P L1B Offline        | 103      | 397351758066   | 2025-07-25 14:40:07+00 | 2025-08-01 20:54:01+00 | 5             |
|                                                      | Radiance Band-2 data           |          |                |                        |                        |               |
| S5P_OFFL_L1B_RA_BD3                                  | Sentienl-5P L1B Offline        | 103      | 390135816410   | 2025-07-25 14:40:07+00 | 2025-08-01 20:54:01+00 | 5             |
|                                                      | Radiance Band-3 data           |          |                |                        |                        |               |
| S5P_OFFL_L1B_RA_BD4                                  | Sentienl-5P L1B Offline        | 103      | 371431169000   | 2025-07-25 14:40:07+00 | 2025-08-01 20:54:01+00 | 5             |
|                                                      | Radiance Band-4 data           |          |                |                        |                        |               |
| S5P_OFFL_L2_O3                                       | Sentienl-5P L2 Offline Ozone   | 1234     | 414184968011   | 2025-04-29 21:54:41+00 | 2025-07-31 05:59:39+00 | 90            |
|                                                      | data                           |          |                |                        |                        |               |
| S5P_OFFL_L2_SO2                                      | Sentienl-5P L2 Offline Sulfur  | 1232     | 1326526266345  | 2025-04-29 21:54:41+00 | 2025-07-31 04:18:10+00 | 90            |
|                                                      | Dioxide data                   |          |                |                        |                        |               |
| S6A_1A_HR_NRT                                        |  Sentinel-6 Poseidon-4         | 1367     | 3637088604160  | 2025-07-23 18:18:08+00 | 2025-08-02 00:24:07+00 | 7             |
|                                                      | Altimetry Level 1A High        |          |                |                        |                        |               |
|                                                      | Resolution in Near Real-Time   |          |                |                        |                        |               |
| S6A_1A_HR_STC                                        |  Sentinel-6 Poseidon-4         | 232      | 3551382272000  | 2025-07-22 23:25:17+00 | 2025-08-01 01:43:21+00 | 7             |
|                                                      | Altimetry Level 1A High        |          |                |                        |                        |               |
|                                                      | Resolution in Short Time       |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6A_2_HR_NRT                                         |  Sentinel-6 Poseidon-4         | 1366     | 4646432768     | 2025-07-23 17:48:10+00 | 2025-08-02 00:04:05+00 | 7             |
|                                                      | Altimetry Level 2 High         |          |                |                        |                        |               |
|                                                      | Resolution in Near Real-Time   |          |                |                        |                        |               |
| S6A_2_HR_NTC                                         | Sentinel-6 Poseidon-4          | 1650     | 11583602688    | 2025-05-04 09:59:49+00 | 2025-07-08 06:12:21+00 | 7             |
|                                                      | Altimetry Level 2 High         |          |                |                        |                        |               |
|                                                      | Resolution in Not Time         |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6A_2_HR_STC                                         |  Sentinel-6 Poseidon-4         | 233      | 1627281920     | 2025-07-22 22:29:06+00 | 2025-08-01 01:43:19+00 | 7             |
|                                                      | Altimetry Level 2 High         |          |                |                        |                        |               |
|                                                      | Resolution in Short Time       |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6A_2_LR_NRT                                         |  Sentinel-6 Poseidon-4         | 117      | 2898319872     | 2025-07-23 19:03:46+00 | 2025-08-02 00:04:05+00 | 7             |
|                                                      | Altimetry Level 2 Low          |          |                |                        |                        |               |
|                                                      | Resolution in Near Real-Time   |          |                |                        |                        |               |
| S6A_2_LR_NTC                                         | Sentinel-6 Poseidon-4          | 1571     | 16443560448    | 2025-05-10 01:50:57+00 | 2025-07-11 01:39:49+00 | 7             |
|                                                      | Altimetry Level 2 Low          |          |                |                        |                        |               |
|                                                      | Resolution in Not Time         |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6A_2_LR_STC                                         |  Sentinel-6 Poseidon-4         | 234      | 2451904000     | 2025-07-22 22:29:06+00 | 2025-08-01 01:43:19+00 | 7             |
|                                                      | Altimetry Level 2 Low          |          |                |                        |                        |               |
|                                                      | Resolution in Short Time       |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6B_1A_HR_NRT                                        |  Sentinel-6B Poseidon-4        | 903      | 2401061908480  | 2025-05-06 06:31:25+00 | 2025-05-13 06:33:20+00 | 7             |
|                                                      | Altimetry Level 1A High        |          |                |                        |                        |               |
|                                                      | Resolution in Near Real-Time   |          |                |                        |                        |               |
| S6B_1A_HR_STC                                        |  Sentinel-6B Poseidon-4        | 174      | 2680592332800  | 2025-04-30 10:25:53+00 | 2025-05-07 11:04:35+00 | 7             |
|                                                      | Altimetry Level 1A High        |          |                |                        |                        |               |
|                                                      | Resolution in Short Time       |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6B_1B_HR_NRT                                        |  Sentinel-6B Poseidon-4        | 1032     | 19767685120    | 2025-05-06 06:31:27+00 | 2025-05-13 06:33:18+00 | 7             |
|                                                      | Altimetry Level 1B High        |          |                |                        |                        |               |
|                                                      | Resolution in Near Real-Time   |          |                |                        |                        |               |
| S6B_1B_HR_STC                                        |  Sentinel-6B Poseidon-4        | 173      | 19063859200    | 2025-05-05 00:59:15+00 | 2025-05-12 01:37:53+00 | 7             |
|                                                      | Altimetry Level 1B High        |          |                |                        |                        |               |
|                                                      | Resolution in Short Time       |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6B_1B_LR_NRT                                        |  Sentinel-6B Poseidon-4        | 88       | 19303782400    | 2025-05-06 05:50:56+00 | 2025-05-13 06:33:18+00 | 7             |
|                                                      | Altimetry Level 1B Low         |          |                |                        |                        |               |
|                                                      | Resolution in Near Real-Time   |          |                |                        |                        |               |
| S6B_1B_LR_STC                                        |  Sentinel-6B Poseidon-4        | 180      | 19777843200    | 2025-05-06 00:24:37+00 | 2025-05-13 01:03:15+00 | 7             |
|                                                      | Altimetry Level 1B Low         |          |                |                        |                        |               |
|                                                      | Resolution in Short Time       |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6B_2_HR_NRT                                         | Sentinel-6B Poseidon-4         | 1032     | 3499817984     | 2025-05-06 06:31:27+00 | 2025-05-13 06:33:18+00 | 7             |
|                                                      | Altimetry Level 2 High         |          |                |                        |                        |               |
|                                                      | Resolution in Near Real-Time   |          |                |                        |                        |               |
| S6B_2_HR_NTC                                         |  Sentinel-6B Poseidon-4        | 129      | 663208448      | 2025-03-17 01:09:48+00 | 2025-03-24 01:48:26+00 | 7             |
|                                                      | Altimetry Level 2 High         |          |                |                        |                        |               |
|                                                      | Resolution in Not Time         |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6B_2_HR_STC                                         |  Sentinel-6B Poseidon-4        | 167      | 1167080960     | 2025-05-05 00:59:15+00 | 2025-05-12 01:37:53+00 | 7             |
|                                                      | Altimetry Level 2 High         |          |                |                        |                        |               |
|                                                      | Resolution in Short Time       |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6B_2_LR_NRT                                         | Sentinel-6B Poseidon-4         | 88       | 2174572544     | 2025-05-06 05:50:56+00 | 2025-05-13 06:33:18+00 | 7             |
|                                                      | Altimetry Level 2 Low          |          |                |                        |                        |               |
|                                                      | Resolution in Near Real-Time   |          |                |                        |                        |               |
| S6B_2_LR_NTC                                         | Sentinel-6B Poseidon-4         | 127      | 1329123840     | 2025-03-17 05:50:53+00 | 2025-03-24 01:48:26+00 | 7             |
|                                                      | Altimetry Level 2 Low          |          |                |                        |                        |               |
|                                                      | Resolution in Not Time         |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| S6B_2_LR_STC                                         |  Sentinel-6B Poseidon-4        | 178      | 1860265984     | 2025-05-05 10:21:24+00 | 2025-05-12 11:00:01+00 | 7             |
|                                                      | Altimetry Level 2 Low          |          |                |                        |                        |               |
|                                                      | Resolution in Short Time       |          |                |                        |                        |               |
|                                                      | Critical                       |          |                |                        |                        |               |
| SAB_DVORAK_FIX                                       |  SAB position and intensity    | 292      | 75218          | 2025-06-26 00:22:01+00 | 2025-08-02 23:59:59+00 | 30            |
|                                                      | estimates for tropical         |          |                |                        |                        |               |
|                                                      | cyclones and disturbances      |          |                |                        |                        |               |
|                                                      | derived using the Dvorak       |          |                |                        |                        |               |
|                                                      | technique.                     |          |                |                        |                        |               |
| SAB_MICROWAVE_FIX                                    | SAB position estimates derived | 117      | 36747          | 2025-06-26 06:00:46+00 | 2025-08-02 23:59:59+00 | 30            |
|                                                      | from microwave brightness      |          |                |                        |                        |               |
|                                                      | temperature data typically     |          |                |                        |                        |               |
|                                                      | at 85-91 GHz and 36-37 GHz     |          |                |                        |                        |               |
|                                                      | frequencies.                   |          |                |                        |                        |               |
| SAT-INST-CAL-EPH                                     | GOES-R Satellite Instrument    | 4614     | 208738558      | 2025-04-27 23:00:16+00 | 2025-08-02 01:59:56+00 | 90            |
|                                                      | Calibration Ephemeris          |          |                |                        |                        |               |
| SATMS                                                | ATMS Science SDR in HDF5       | 983403   | 143814929951   | 2025-04-01 17:55:12+00 | 2025-08-02 02:34:11+00 | 120           |
|                                                      | format                         |          |                |                        |                        |               |
| SBUV_LEVEL_1B_NSS_SBUX                               | SBUV Level 1b End Product      | 314      | 88953288       | 2025-07-11 21:59:00+00 | 2025-08-02 00:28:00+00 | 90            |
| SCRIF                                                | CrIS High Resolution files     | 999737   | 14275952401157 | 2025-04-01 17:18:57+00 | 2025-08-02 01:52:07+00 | 120           |
| SCT-L1B                                              | Scatterometer L1B data         | 3148     | 1164627269894  | 2023-12-12 00:26:32+00 | 2025-08-01 23:42:15+00 | 30            |
| SCT-L2A                                              | Scatterometer L2A data         | 6303     | 685199345248   | 2023-12-12 00:26:32+00 | 2025-08-01 23:42:15+00 | 30            |
| SCT-L2B                                              | Scatterometer L2B data         | 5307     | 57737841072    | 2025-06-16 21:35:42+00 | 2025-08-01 23:42:15+00 | 30            |
| SEAP_ASCAT_ICE                                       | ASCAT Daily Ice Products in    | 978      | 23997448542    | 2025-04-26 00:00:00+00 | 2025-08-02 00:00:00+00 | 90            |
|                                                      | netCDF                         |          |                |                        |                        |               |
| SEAP_ASCAT_ICE_GEOTIFF                               | ASCAT Daily Ice Products in    | 979      | 2151392054     | 2025-04-26 00:00:00+00 | 2025-08-02 00:00:00+00 | 90            |
|                                                      | GEoTIFF                        |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_250                                   | ASCAT 25KM Ocean Surface Winds | 90895    | 259592302410   | 2025-04-27 22:48:00+00 | 2025-08-02 01:38:58+00 | 90            |
|                                                      | in netCDF                      |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_250_BIN                               | ASCAT 25KM Ocean Surface Winds | 90913    | 231875833248   | 2025-04-27 22:48:00+00 | 2025-08-02 01:50:58+00 | 90            |
|                                                      | in Binary                      |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_250_BUFR                              | ASCAT 25KM Ocean Surface Winds | 90927    | 34941263976    | 2025-04-27 22:48:00+00 | 2025-08-02 01:47:58+00 | 90            |
|                                                      | in BUFR                        |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_500                                   | ASCAT 50KM Ocean Surface Winds | 90920    | 72249214320    | 2025-04-27 22:48:00+00 | 2025-08-02 01:41:56+00 | 90            |
|                                                      | in netCDF                      |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_500_BIN                               | ASCAT 50KM Ocean Surface Winds | 90935    | 59397287040    | 2025-04-27 22:48:00+00 | 2025-08-02 01:23:56+00 | 90            |
|                                                      | in Binary                      |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_500_BUFR                              | ASCAT 50KM Ocean Surface Winds | 90959    | 9152317488     | 2025-04-27 22:48:00+00 | 2025-08-02 01:50:56+00 | 90            |
|                                                      | in BUFR                        |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_AMB250                                | ASCAT 25KM Ocean Surface Winds | 307260   | 17333542245    | 2025-04-27 22:48:00+00 | 2025-08-02 01:50:58+00 | 90            |
|                                                      | Amb in netCDF                  |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_AMB250_BIN                            | ASCAT 25KM Ocean Surface Winds | 327287   | 46626552840    | 2025-04-27 22:48:00+00 | 2025-08-02 01:50:58+00 | 90            |
|                                                      | Amb in Binary                  |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_AMB250_BUFR                           | ASCAT 25KM Ocean Surface Winds | 352674   | 7779542662     | 2025-04-27 22:48:00+00 | 2025-08-02 01:50:58+00 | 90            |
|                                                      | Amb in BUFR                    |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_AMB500                                | ASCAT 50KM Ocean Surface Winds | 271833   | 10162213234    | 2025-04-27 22:48:00+00 | 2025-08-02 01:41:56+00 | 90            |
|                                                      | Amb in netCDF                  |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_AMB500_BIN                            | ASCAT 50KM Ocean Surface Winds | 322491   | 11826389952    | 2025-04-27 22:48:00+00 | 2025-08-02 01:38:56+00 | 90            |
|                                                      | Amb in Binary                  |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_LITE250                               | ASCAT 25KM Ocean Surface Winds | 80539    | 6194921381     | 2025-04-27 22:48:00+00 | 2025-08-02 01:38:58+00 | 90            |
|                                                      | Lite in netCDF                 |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_LITE250_BIN                           | ASCAT 25KM Ocean Surface Winds | 90939    | 12955515888    | 2025-04-27 22:48:00+00 | 2025-08-02 01:47:58+00 | 90            |
|                                                      | Lite in Binary                 |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_LITE250_BUFR                          | ASCAT 25KM Ocean Surface Winds | 94035    | 3671119908     | 2025-04-27 22:48:00+00 | 2025-08-02 01:44:58+00 | 90            |
|                                                      | Lite in BUFR                   |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_LITE500                               | ASCAT 50KM Ocean Surface Winds | 77672    | 3284299356     | 2025-04-27 22:48:00+00 | 2025-08-02 01:35:56+00 | 90            |
|                                                      | Lite in netCDF                 |          |                |                        |                        |               |
| SEAP_ASCAT_OSW_LITE500_BIN                           | ASCAT 50KM Ocean Surface Winds | 90932    | 3334658304     | 2025-04-27 22:48:00+00 | 2025-08-02 01:29:56+00 | 90            |
|                                                      | Lite in Binary                 |          |                |                        |                        |               |
| SFR_AMSU_MHS                                         | Metop Snowfall Rate (SFR)      | 1552     | 11697944095    | 2025-06-26 21:44:00+00 | 2025-08-02 01:15:00+00 | 30            |
|                                                      | product                        |          |                |                        |                        |               |
| SFR_ATMS                                             | JPSS Snowfall Rate (SFR)       | 285451   | 57225132215    | 2025-06-26 23:34:29+00 | 2025-08-02 02:00:34+00 | 30            |
|                                                      | product                        |          |                |                        |                        |               |
| SFR_GMI                                              | GPM Snowfall Rate (SFR)        | 10377    | 10897425737    | 2025-06-26 23:23:26+00 | 2025-08-02 00:58:24+00 | 30            |
|                                                      | product                        |          |                |                        |                        |               |
| SGLI-L1B-IRS-1KM                                     | SGLI Level 1B Infrared         | 59527    | 1221378063871  | 2025-03-28 20:55:08+00 | 2025-08-01 23:23:51+00 | 120           |
|                                                      | Scanner (IRS) product at 1km   |          |                |                        |                        |               |
|                                                      | resolution                     |          |                |                        |                        |               |
| SGLI-L1B-IRS-250M                                    | SGLI Level 1B Infrared         | 34318    | 4587932122290  | 2025-03-28 21:04:39+00 | 2025-08-01 23:36:28+00 | 120           |
|                                                      | Scanner (IRS) product at 250m  |          |                |                        |                        |               |
|                                                      | resolution                     |          |                |                        |                        |               |
| SGLI-L1B-POL-1KM                                     | SGLI Level 1B Polarization     | 8913     | 1710358435088  | 2025-03-28 17:16:58+00 | 2025-08-01 21:01:48+00 | 120           |
|                                                      | (POL) product at 1km           |          |                |                        |                        |               |
|                                                      | resolution                     |          |                |                        |                        |               |
| SGLI-L1B-VNR-1KM                                     | SGLI Level 1B Visible Near     | 32895    | 1528243187171  | 2025-03-28 20:40:47+00 | 2025-08-01 23:35:36+00 | 120           |
|                                                      | Infrared (VNR) product at 1km  |          |                |                        |                        |               |
|                                                      | resolution                     |          |                |                        |                        |               |
| SGLI-L1B-VNR-250M                                    | SGLI Level 1B Visible Near     | 16701    | 8917357354241  | 2025-03-28 20:49:09+00 | 2025-08-01 23:36:28+00 | 120           |
|                                                      | Infrared (VNR) product at 250m |          |                |                        |                        |               |
|                                                      | resolution                     |          |                |                        |                        |               |
| SGLI-L2-IWPR-1KM                                     | SGLI Level 2 In-water          | 32915    | 73154655974    | 2025-03-28 05:32:17+00 | 2025-08-01 11:58:14+00 | 120           |
|                                                      | properties product at 1km      |          |                |                        |                        |               |
|                                                      | resolution                     |          |                |                        |                        |               |
| SGLI-L2-IWPR-250M                                    | SGLI Level 2 In-water          | 16703    | 569185505445   | 2025-03-28 05:41:31+00 | 2025-08-01 11:58:14+00 | 120           |
|                                                      | properties product at 250m     |          |                |                        |                        |               |
|                                                      | resolution                     |          |                |                        |                        |               |
| SGLI-L2-NWLR-1KM                                     | SGLI Level 2 Normalized water  | 32659    | 227605886113   | 2025-03-28 05:32:17+00 | 2025-08-01 11:58:14+00 | 120           |
|                                                      | leaving radiance product at    |          |                |                        |                        |               |
|                                                      | 1km resolution                 |          |                |                        |                        |               |
| SGLI-L2-NWLR-250M                                    | SGLI Level 2 Normalized water  | 16570    | 1728248890871  | 2025-03-28 05:41:31+00 | 2025-08-01 10:21:30+00 | 120           |
|                                                      | leaving radiance product at    |          |                |                        |                        |               |
|                                                      | 250m resolution                |          |                |                        |                        |               |
| SHA-PNG                                              | Sea Surface Height Anomaly in  | 43       | 13123528       | 2025-07-06 00:00:00+00 | 2025-08-01 00:00:00+00 | 7             |
|                                                      | PNG format                     |          |                |                        |                        |               |
| SHIPS_JTWC_DIAG                                      |  Statistical Hurricane         | 560      | 4991092        | 2024-01-21 00:00:00+00 | 2024-07-19 05:59:59+00 | 180           |
|                                                      | Intensity Prediction Scheme    |          |                |                        |                        |               |
|                                                      | (SHIPS) Forecast Diagnostic    |          |                |                        |                        |               |
|                                                      | File from JTWC                 |          |                |                        |                        |               |
| SHIPS_NHC_DIAG                                       |  Statistical Hurricane         | 308      | 4514667        | 2025-03-21 12:00:00+00 | 2025-08-02 05:59:59+00 | 180           |
|                                                      | Intensity Prediction Scheme    |          |                |                        |                        |               |
|                                                      | (SHIPS) Forecast Diagnostic    |          |                |                        |                        |               |
|                                                      | File from NHC                  |          |                |                        |                        |               |
| SIR1SARNFR                                           | CryoSat-2 NRT L1 Full-Rate     | 99711    | 9333298824111  | 2023-04-25 00:00:07+00 | 2025-08-02 00:55:47+00 | 14            |
| SIR_GOP_2                                            | CryoSat-2 Geophysical L2       | 25407    | 186780006754   | 2023-02-25 23:09:33+00 | 2025-07-04 23:36:00+00 | 14            |
|                                                      | Pole-to-Pole Ocean Product     |          |                |                        |                        |               |
| SIR_IOP_2                                            | CryoSat-2 Interim L2           | 24230    | 177246419318   | 2023-04-22 00:46:13+00 | 2025-07-31 23:10:26+00 | 14            |
